Loaded training data: 1281167 classes: 1000
Loaded validation data: 50000 classes: 1000
Data loaded
Loaded 5 batches in 0.85 seconds
train classes: 1000
model head: 1000
Starting fresh training (no resume).
CC: (8, 9)
TF32 matmul: True
TF32 cudnn: True
[Epoch 0] start — noise=5.0e-04, kd_scale=1.00, T=3
Epoch [2] SADT | CE: 5.5890 | KD: 0.0785 | Top-1: 6.53% (batches: CE=20019, KD=20019)
[VAL (student)] Loss: 5.5100 | Top-1: 6.69% | Top-5: 19.87%
[VAL (EMA)] Loss: 5.3806 | Top-1: 8.00% | Top-5: 22.48%
[Epoch 2] start — noise=5.0e-04, kd_scale=1.00, T=3
[E2 B0] CE 5.3542 | KD 0.1338
[E2 B200] CE 5.2437 | KD 0.1029
[E2 B400] CE 5.1464 | KD 0.1178
[E2 B600] CE 5.4034 | KD 0.1384
[E2 B800] CE 5.2665 | KD 0.1464
[E2 B1000] CE 5.1588 | KD 0.1217
[E2 B1200] CE 5.3941 | KD 0.1345
[E2 B1400] CE 5.4926 | KD 0.1068
[E2 B1600] CE 5.6643 | KD 0.1222
[E2 B1800] CE 5.2673 | KD 0.1127
[E2 B2000] CE 5.2588 | KD 0.1075
[E2 B2200] CE 5.2142 | KD 0.1380
[E2 B2400] CE 5.1076 | KD 0.1325
[E2 B2600] CE 5.2306 | KD 0.1069
[E2 B2800] CE 5.1150 | KD 0.1392
[E2 B3000] CE 5.2922 | KD 0.1593
[E2 B3200] CE 5.5079 | KD 0.1220
[E2 B3400] CE 5.0721 | KD 0.1243
[E2 B3600] CE 5.2523 | KD 0.1579
[E2 B3800] CE 5.1940 | KD 0.1299
[E2 B4000] CE 5.5994 | KD 0.1305
[E2 B4200] CE 5.2529 | KD 0.1255
[E2 B4400] CE 5.3135 | KD 0.1125
[E2 B4600] CE 5.5090 | KD 0.1249
[E2 B4800] CE 5.3282 | KD 0.1273
[E2 B5000] CE 5.4783 | KD 0.1576
[E2 B5200] CE 5.2283 | KD 0.1531
[E2 B5400] CE 5.2937 | KD 0.1077
[E2 B5600] CE 5.4736 | KD 0.1368
[E2 B5800] CE 5.3845 | KD 0.1378
[E2 B6000] CE 5.4035 | KD 0.0995
[E2 B6200] CE 5.2367 | KD 0.1263
[E2 B6400] CE 5.0346 | KD 0.1094
[E2 B6600] CE 5.4631 | KD 0.1197
[E2 B6800] CE 5.3356 | KD 0.1558
[E2 B7000] CE 5.2481 | KD 0.1672
[E2 B7200] CE 5.0996 | KD 0.1256
[E2 B7400] CE 5.3614 | KD 0.1227
[E2 B7600] CE 5.4722 | KD 0.1297
[E2 B7800] CE 5.0714 | KD 0.1164
[E2 B8000] CE 5.3099 | KD 0.1710
[E2 B8200] CE 5.3803 | KD 0.1588
[E2 B8400] CE 5.3517 | KD 0.1246
[E2 B8600] CE 5.1612 | KD 0.1186
[E2 B8800] CE 4.9291 | KD 0.1572
[E2 B9000] CE 5.1859 | KD 0.1283
[E2 B9200] CE 5.3384 | KD 0.1224
[E2 B9400] CE 5.0986 | KD 0.1484
[E2 B9600] CE 5.3742 | KD 0.1292
[E2 B9800] CE 5.3267 | KD 0.1473
[E2 B10000] CE 5.3233 | KD 0.1174
[E2 B10200] CE 5.4270 | KD 0.1134
[E2 B10400] CE 4.8197 | KD 0.1501
[E2 B10600] CE 4.9609 | KD 0.1355
[E2 B10800] CE 5.1144 | KD 0.1311
[E2 B11000] CE 5.0594 | KD 0.1464
[E2 B11200] CE 4.9299 | KD 0.1431
[E2 B11400] CE 5.4974 | KD 0.1430
[E2 B11600] CE 4.9272 | KD 0.1355
[E2 B11800] CE 5.1096 | KD 0.1393
[E2 B12000] CE 5.2527 | KD 0.1399
[E2 B12200] CE 5.3784 | KD 0.1461
[E2 B12400] CE 5.1027 | KD 0.1308
[E2 B12600] CE 5.2166 | KD 0.1685
[E2 B12800] CE 5.2870 | KD 0.1465
[E2 B13000] CE 4.9571 | KD 0.1836
[E2 B13200] CE 5.2155 | KD 0.1463
[E2 B13400] CE 5.4198 | KD 0.1659
[E2 B13600] CE 5.0307 | KD 0.1533
[E2 B13800] CE 5.3883 | KD 0.1401
[E2 B14000] CE 4.9728 | KD 0.1191
[E2 B14200] CE 5.3659 | KD 0.2151
[E2 B14400] CE 5.0530 | KD 0.1275
[E2 B14600] CE 5.1102 | KD 0.1349
[E2 B14800] CE 5.4329 | KD 0.1141
[E2 B15000] CE 5.3438 | KD 0.1518
[E2 B15200] CE 4.7069 | KD 0.1597
[E2 B15400] CE 5.1863 | KD 0.1876
[E2 B15600] CE 4.8844 | KD 0.1635
[E2 B15800] CE 5.2350 | KD 0.1362
[E2 B16000] CE 4.8359 | KD 0.1548
[E2 B16200] CE 5.2926 | KD 0.1312
[E2 B16400] CE 5.0054 | KD 0.1340
[E2 B16600] CE 5.4007 | KD 0.1143
[E2 B16800] CE 4.9785 | KD 0.1193
[E2 B17000] CE 5.1607 | KD 0.1311
[E2 B17200] CE 5.0760 | KD 0.1176
[E2 B17400] CE 5.0453 | KD 0.1028
[E2 B17600] CE 4.9556 | KD 0.1163
[E2 B17800] CE 5.1762 | KD 0.1135
[E2 B18000] CE 4.8003 | KD 0.1333
[E2 B18200] CE 5.4349 | KD 0.1159
[E2 B18400] CE 5.2026 | KD 0.1192
[E2 B18600] CE 5.2708 | KD 0.0904
[E2 B18800] CE 5.1191 | KD 0.1061
[E2 B19000] CE 5.1398 | KD 0.1077
[E2 B19200] CE 5.0388 | KD 0.1015
[E2 B19400] CE 5.3696 | KD 0.1309
[E2 B19600] CE 4.9768 | KD 0.1211
[E2 B19800] CE 5.6516 | KD 0.1042
[E2 B20000] CE 5.1507 | KD 0.0898
Epoch [3] SADT | CE: 5.2386 | KD: 0.1341 | Top-1: 10.58% (batches: CE=20019, KD=20019)
[VAL (student)] Loss: 5.5043 | Top-1: 7.30% | Top-5: 20.45%
[VAL (EMA)] Loss: 5.4480 | Top-1: 7.72% | Top-5: 21.24%
[Epoch 3] start — noise=5.0e-04, kd_scale=1.00, T=3
[E3 B0] CE 5.0735 | KD 0.0976
[E3 B200] CE 5.2475 | KD 0.0948
[E3 B400] CE 5.3516 | KD 0.1158
[E3 B600] CE 5.0433 | KD 0.1326
[E3 B800] CE 4.9378 | KD 0.1135
[E3 B1000] CE 5.2024 | KD 0.1021
[E3 B1200] CE 5.2443 | KD 0.0959
[E3 B1400] CE 5.0583 | KD 0.0853
[E3 B1600] CE 5.3636 | KD 0.1300
[E3 B1800] CE 4.9078 | KD 0.0975
[E3 B2000] CE 5.3633 | KD 0.1005
[E3 B2200] CE 5.1541 | KD 0.1185
[E3 B2400] CE 4.9808 | KD 0.0947
[E3 B2600] CE 5.1029 | KD 0.1332
[E3 B2800] CE 4.7722 | KD 0.1764
[E3 B3000] CE 5.0982 | KD 0.1064
[E3 B3200] CE 4.9303 | KD 0.1438
[E3 B3400] CE 4.8144 | KD 0.1915
[E3 B3600] CE 5.0075 | KD 0.1492
[E3 B3800] CE 4.8778 | KD 0.1285
[E3 B4000] CE 5.0481 | KD 0.1154
[E3 B4200] CE 5.0843 | KD 0.1204
[E3 B4400] CE 5.1166 | KD 0.1483
[E3 B4600] CE 5.0359 | KD 0.1510
[E3 B4800] CE 4.6862 | KD 0.1364
[E3 B5000] CE 5.2760 | KD 0.1326
[E3 B5200] CE 4.8407 | KD 0.1311
[E3 B5400] CE 4.5414 | KD 0.1481
[E3 B5600] CE 4.8007 | KD 0.1453
[E3 B5800] CE 5.1326 | KD 0.1603
[E3 B6000] CE 5.0899 | KD 0.1748
[E3 B6200] CE 5.1419 | KD 0.1431
[E3 B6400] CE 5.2970 | KD 0.1520
[E3 B6600] CE 4.9521 | KD 0.1582
[E3 B6800] CE 4.9505 | KD 0.1441
[E3 B7000] CE 5.0640 | KD 0.1305
[E3 B7200] CE 5.0640 | KD 0.1354
[E3 B7400] CE 5.0347 | KD 0.1371
[E3 B7600] CE 5.2373 | KD 0.1379
[E3 B7800] CE 5.1810 | KD 0.1604
[E3 B8000] CE 4.6698 | KD 0.1226
[E3 B8200] CE 4.8614 | KD 0.1218
[E3 B8400] CE 4.8157 | KD 0.1458
[E3 B8600] CE 5.2418 | KD 0.1528
[E3 B8800] CE 4.8323 | KD 0.1290
[E3 B9000] CE 4.5754 | KD 0.1160
[E3 B9200] CE 5.2433 | KD 0.1473
[E3 B9400] CE 5.0321 | KD 0.1484
[E3 B9600] CE 5.1834 | KD 0.1049
[E3 B9800] CE 4.9065 | KD 0.1330
[E3 B10000] CE 5.0041 | KD 0.0968
[E3 B10200] CE 4.9687 | KD 0.1092
[E3 B10400] CE 4.9942 | KD 0.1286
[E3 B10600] CE 4.8982 | KD 0.0809
[E3 B10800] CE 4.9443 | KD 0.0936
[E3 B11000] CE 5.0092 | KD 0.0918
[E3 B11200] CE 4.7461 | KD 0.0902
[E3 B11400] CE 4.9299 | KD 0.0879
[E3 B11600] CE 5.0372 | KD 0.1151
[E3 B11800] CE 4.9481 | KD 0.1054
[E3 B12000] CE 4.9109 | KD 0.1290
[E3 B12200] CE 5.1615 | KD 0.0919
[E3 B12400] CE 5.3742 | KD 0.1124
[E3 B12600] CE 4.7636 | KD 0.1003
[E3 B12800] CE 4.5302 | KD 0.1135
[E3 B13000] CE 4.9671 | KD 0.0954
[E3 B13200] CE 4.8110 | KD 0.1296
[E3 B13400] CE 5.0193 | KD 0.1363
[E3 B13600] CE 5.1954 | KD 0.1224
[E3 B13800] CE 4.9825 | KD 0.1234
[E3 B14000] CE 5.1404 | KD 0.1547
[E3 B14200] CE 4.8903 | KD 0.1313
[E3 B14400] CE 4.7936 | KD 0.1648
[E3 B14600] CE 5.0409 | KD 0.1631
[E3 B14800] CE 5.0838 | KD 0.1367
[E3 B15000] CE 5.2519 | KD 0.1215
[E3 B15200] CE 5.2148 | KD 0.1766
[E3 B15400] CE 4.7755 | KD 0.1405
[E3 B15600] CE 5.0759 | KD 0.1729
[E3 B15800] CE 4.6659 | KD 0.1603
[E3 B16000] CE 5.0609 | KD 0.1699
[E3 B16200] CE 4.7474 | KD 0.1426
[E3 B16400] CE 4.7665 | KD 0.1509
[E3 B16600] CE 4.8811 | KD 0.1464
[E3 B16800] CE 4.8333 | KD 0.1455
[E3 B17000] CE 5.0873 | KD 0.1812
[E3 B17200] CE 4.7347 | KD 0.1700
[E3 B17400] CE 4.7579 | KD 0.1727
[E3 B17600] CE 5.3219 | KD 0.1958
[E3 B17800] CE 5.0577 | KD 0.1647
[E3 B18000] CE 4.8268 | KD 0.1969
[E3 B18200] CE 4.8494 | KD 0.1828
[E3 B18400] CE 4.3087 | KD 0.1803
[E3 B18600] CE 4.7395 | KD 0.1709
